Story #,Title,Story Text,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5
1,The Boy’s Journey 1,"A boy found a golden key buried in the sand.
He searched for the lock across forests and rivers.
One night, the key glowed and opened the sky itself.
He stepped into the stars and never returned.",What happens at the beginning of story 1?,A boy found a golden key buried in the sand,What is the key event in story 1?,He searched for the lock across forests and rivers,What surprising moment occurs in story 1?,"One night, the key glowed and opened the sky itself",What happens near the end of story 1?,He stepped into the stars and never returned.,What is the overall theme of story 1?,He stepped into the stars and never returned.
2,The Man’s Fate 2,"An old woman baked bread every morning for the stray cats.
One day, the cats brought her shiny trinkets from the woods.
She followed them and discovered an ancient stone door.
Inside, she found her childhood toys waiting.",What happens at the beginning of story 2?,An old woman baked bread every morning for the stray cats,What is the key event in story 2?,"One day, the cats brought her shiny trinkets from the woods",What surprising moment occurs in story 2?,She followed them and discovered an ancient stone door,What happens near the end of story 2?,"Inside, she found her childhood toys waiting.",What is the overall theme of story 2?,"Inside, she found her childhood toys waiting."
3,A Child’s Wish 3,"A child wished her shadow could talk.
The next day, it whispered secrets about everyone she met.
She loved it until it revealed her own deepest fear.
From then on, she walked only in darkness.",What happens at the beginning of story 3?,A child wished her shadow could talk,What is the key event in story 3?,"The next day, it whispered secrets about everyone she met",What surprising moment occurs in story 3?,She loved it until it revealed her own deepest fear,What happens near the end of story 3?,"From then on, she walked only in darkness.",What is the overall theme of story 3?,"From then on, she walked only in darkness."
4,The Brave Knight 4,"A knight failed every battle he fought.
Instead of shame, the villagers cheered him for always standing up again.
One day, the dragon laughed so hard at his persistence it left the kingdom.
The knight realized losing bravely can still protect people.",What happens at the beginning of story 4?,A knight failed every battle he fought,What is the key event in story 4?,"Instead of shame, the villagers cheered him for always standing up again",What surprising moment occurs in story 4?,"One day, the dragon laughed so hard at his persistence it left the kingdom",What happens near the end of story 4?,The knight realized losing bravely can still protect people.,What is the overall theme of story 4?,The knight realized losing bravely can still protect people.
5,The Man’s Fate 5,"A lonely robot wrote poetry about rain.
No human ever read them until centuries later.
Archaeologists wept at the simple verses.
The robot’s heart finally felt heard.",What happens at the beginning of story 5?,A lonely robot wrote poetry about rain,What is the key event in story 5?,No human ever read them until centuries later,What surprising moment occurs in story 5?,Archaeologists wept at the simple verses,What happens near the end of story 5?,The robot’s heart finally felt heard.,What is the overall theme of story 5?,The robot’s heart finally felt heard.
6,The Girl’s Secret 6,"A girl planted a seed in a glass jar.
By morning, it had grown into a tree taller than her house.
Climbing it, she found doors carved into branches.
Each door led to a memory she had forgotten.",What happens at the beginning of story 6?,A girl planted a seed in a glass jar,What is the key event in story 6?,"By morning, it had grown into a tree taller than her house",What surprising moment occurs in story 6?,"Climbing it, she found doors carved into branches",What happens near the end of story 6?,Each door led to a memory she had forgotten.,What is the overall theme of story 6?,Each door led to a memory she had forgotten.
7,The Man’s Fate 7,"A man could stop time by holding his breath.
He used it only to enjoy sunsets longer.
One evening, he forgot to breathe again.
The world never moved forward.",What happens at the beginning of story 7?,A man could stop time by holding his breath,What is the key event in story 7?,He used it only to enjoy sunsets longer,What surprising moment occurs in story 7?,"One evening, he forgot to breathe again",What happens near the end of story 7?,The world never moved forward.,What is the overall theme of story 7?,The world never moved forward.
8,The Silent Painter 8,"The painter only used black paint.
Everyone mocked him until the moon disappeared.
His paintings became the only light people could see.
And for the first time, he smiled.",What happens at the beginning of story 8?,The painter only used black paint,What is the key event in story 8?,Everyone mocked him until the moon disappeared,What surprising moment occurs in story 8?,His paintings became the only light people could see,What happens near the end of story 8?,"And for the first time, he smiled.",What is the overall theme of story 8?,"And for the first time, he smiled."
9,The Storm Chaser 9,"A sailor chased storms instead of avoiding them.
Inside the lightning, he saw faces calling his name.
He followed them into the brightest strike.
The ocean swallowed him gently.",What happens at the beginning of story 9?,A sailor chased storms instead of avoiding them,What is the key event in story 9?,"Inside the lightning, he saw faces calling his name",What surprising moment occurs in story 9?,He followed them into the brightest strike,What happens near the end of story 9?,The ocean swallowed him gently.,What is the overall theme of story 9?,The ocean swallowed him gently.
10,The Girl’s Secret 10,"A girl never spoke a word.
Instead, butterflies fluttered out whenever she opened her mouth.
People thought it was magic until the butterflies stopped coming.
She whispered her first word: “Goodbye.”",What happens at the beginning of story 10?,A girl never spoke a word,What is the key event in story 10?,"Instead, butterflies fluttered out whenever she opened her mouth",What surprising moment occurs in story 10?,People thought it was magic until the butterflies stopped coming,What happens near the end of story 10?,She whispered her first word: “Goodbye.”,What is the overall theme of story 10?,She whispered her first word: “Goodbye.”
11,The Boy’s Journey 11,"A boy built a kite that reached the clouds.
When he pulled the string, something pulled back.
He tugged harder and a hand reached down.
The sky wanted to play.",What happens at the beginning of story 11?,A boy built a kite that reached the clouds,What is the key event in story 11?,"When he pulled the string, something pulled back",What surprising moment occurs in story 11?,He tugged harder and a hand reached down,What happens near the end of story 11?,The sky wanted to play.,What is the overall theme of story 11?,The sky wanted to play.
12,Mystery Tale 12,"A scientist bottled laughter in jars.
When war broke out, he opened them all at once.
The battlefield froze in joy and confusion.
No one remembered why they were fighting.",What happens at the beginning of story 12?,A scientist bottled laughter in jars,What is the key event in story 12?,"When war broke out, he opened them all at once",What surprising moment occurs in story 12?,The battlefield froze in joy and confusion,What happens near the end of story 12?,No one remembered why they were fighting.,What is the overall theme of story 12?,No one remembered why they were fighting.
13,The Girl’s Secret 13,"A girl dreamed of flying every night.
One morning, she woke up with feathers on her arms.
Afraid, she hid them from her family.
Until her little brother whispered, “I dreamed too.”",What happens at the beginning of story 13?,A girl dreamed of flying every night,What is the key event in story 13?,"One morning, she woke up with feathers on her arms",What surprising moment occurs in story 13?,"Afraid, she hid them from her family",What happens near the end of story 13?,"Until her little brother whispered, “I dreamed too.”",What is the overall theme of story 13?,"Until her little brother whispered, “I dreamed too.”"
14,The Man’s Fate 14,"A fisherman never caught fish, only shoes.
Each shoe carried initials and stories.
He placed them on a line by the sea.
One day, someone walked the shore barefoot and cried.",What happens at the beginning of story 14?,"A fisherman never caught fish, only shoes",What is the key event in story 14?,Each shoe carried initials and stories,What surprising moment occurs in story 14?,He placed them on a line by the sea,What happens near the end of story 14?,"One day, someone walked the shore barefoot and cried.",What is the overall theme of story 14?,"One day, someone walked the shore barefoot and cried."
15,The Boy’s Journey 15,"The library had one book that no one touched.
Its cover changed colors depending on who looked at it.
A boy opened it and saw his future written inside.
The last page ended tomorrow.",What happens at the beginning of story 15?,The library had one book that no one touched,What is the key event in story 15?,Its cover changed colors depending on who looked at it,What surprising moment occurs in story 15?,A boy opened it and saw his future written inside,What happens near the end of story 15?,The last page ended tomorrow.,What is the overall theme of story 15?,The last page ended tomorrow.
16,Mystery Tale 16,"A gardener grew roses made of glass.
They never wilted, but they also never smelled.
One day, real roses bloomed between them.
The glass ones shattered from jealousy.",What happens at the beginning of story 16?,A gardener grew roses made of glass,What is the key event in story 16?,"They never wilted, but they also never smelled",What surprising moment occurs in story 16?,"One day, real roses bloomed between them",What happens near the end of story 16?,The glass ones shattered from jealousy.,What is the overall theme of story 16?,The glass ones shattered from jealousy.
17,The Boy’s Journey 17,"A boy drew doors on walls with chalk.
Sometimes, the doors opened.
He never knew where they led.
One day, he drew one on the sky and stepped through.",What happens at the beginning of story 17?,A boy drew doors on walls with chalk,What is the key event in story 17?,"Sometimes, the doors opened",What surprising moment occurs in story 17?,He never knew where they led,What happens near the end of story 17?,"One day, he drew one on the sky and stepped through.",What is the overall theme of story 17?,"One day, he drew one on the sky and stepped through."
